tf,corr,nz,sum_a,sum_b,mean_a,mean_b,mean_ratio
ZNF431,0.9999999999999997,3337,170.16541790351917,170.16541790351917,0.009878405776356621,0.009878405776356621,1.0
ZNF711,0.9999999999999997,2742,109.93308402562809,109.93308402562812,0.006381811449299204,0.006381811449299206,0.9999999999999998
ZBTB18,0.9999999999999997,4824,174.88456030532686,174.88456030532691,0.010152360403188601,0.010152360403188605,0.9999999999999997
ZNF662,0.9999999999999997,4487,135.70983165297713,135.70983165297713,0.007878197588121277,0.007878197588121277,1.0
ZNF660,0.9999999999999997,1346,36.6570082072821,36.6570082072821,0.0021280046561756704,0.0021280046561756704,1.0
ETV6,0.9999999999999997,5285,163.48695904477464,163.48695904477464,0.009490709337325823,0.009490709337325823,1.0
FBXL19,0.9999999999999997,201,5.867619961790789,5.867619961790789,0.00034062579599389227,0.00034062579599389227,1.0
ZNF416,0.9999999999999997,1949,40.35579137257895,40.35579137257895,0.002342725610854461,0.002342725610854461,1.0
ZNF793,0.9999999999999997,2422,92.3347815216073,92.3347815216073,0.005360198625427104,0.005360198625427104,1.0
ZNF791,0.9999999999999997,2721,62.219884640739316,62.219884640739316,0.003611975191033282,0.003611975191033282,1.0
PRDM4,0.9999999999999997,3655,52.970734222189705,52.970734222189705,0.0030750455254957452,0.0030750455254957452,1.0
ZNF605,0.9999999999999997,3482,60.71815746497968,60.71815746497968,0.0035247972521177105,0.0035247972521177105,1.0
UBP1,0.9999999999999997,1325,51.430368233468045,51.43036823346804,0.002985624534626033,0.0029856245346260328,1.0000000000000002
SOX4,0.9999999999999997,2747,99.60415160947692,99.60415160947693,0.005782198514424528,0.005782198514424529,0.9999999999999999
ZNF573,0.9999999999999997,2879,118.6506376144409,118.6506376144409,0.006887880971464118,0.006887880971464118,1.0
FLI1,0.9999999999999997,7369,232.57985776409265,232.57985776409265,0.013501675244635589,0.013501675244635589,1.0
LEF1,0.9999999999999997,3793,106.16268744549038,106.1626874454904,0.00616293320826021,0.006162933208260212,0.9999999999999998
ZFP82,0.9999999999999997,3800,106.88840510549815,106.88840510549817,0.0062050624117902095,0.00620506241179021,0.9999999999999999
TGIF2,0.9999999999999998,2327,82.3273897371998,82.3273897371998,0.004779251697271555,0.004779251697271555,1.0
NFIC,0.9999999999999998,6246,266.9413813403157,266.9413813403158,0.015496422926989183,0.01549642292698919,0.9999999999999996
NFKB2,0.9999999999999998,3806,155.24512431862436,155.24512431862436,0.009012256142959732,0.009012256142959732,1.0
ZNF708,0.9999999999999998,4060,75.91721088593599,75.91721088593599,0.004407129390800881,0.004407129390800881,1.0
LYL1,0.9999999999999998,3997,157.7067002688291,157.7067002688291,0.009155155013864455,0.009155155013864455,1.0
FOXK2,0.9999999999999998,1107,52.30763356905016,52.30763356905016,0.003036551350809832,0.003036551350809832,1.0
ZNF181,0.9999999999999998,3308,84.53075480353644,84.53075480353644,0.004907160966186952,0.004907160966186952,1.0
FOXN3,0.9999999999999998,139,5.867679284890456,5.867679284890456,0.000340629239805553,0.000340629239805553,1.0
ZNF580,0.9999999999999998,6509,54.18076724991056,54.180767249910566,0.003145290099263355,0.0031452900992633556,0.9999999999999999
TBX21,0.9999999999999998,5344,53.37020634278815,53.37020634278815,0.003098235594031589,0.003098235594031589,1.0
HES6,0.9999999999999998,1076,33.42263055327272,33.42263055327272,0.0019402432690858423,0.0019402432690858423,1.0
IRF9,0.9999999999999998,3010,69.60671608770863,69.60671608770862,0.004040793921264869,0.004040793921264868,1.0000000000000002
GATA1,0.9999999999999998,5435,776.2362334841969,776.2362334841969,0.04506189675398797,0.04506189675398797,1.0
ZNF594,0.9999999999999998,4165,105.37547201476158,105.37547201476158,0.0061172339495391605,0.0061172339495391605,1.0
ZNF248,0.9999999999999998,675,26.211886871035475,26.211886871035475,0.0015216467474187551,0.0015216467474187551,1.0
ZNF680,0.9999999999999998,3488,120.54216045881981,120.54216045881985,0.00699768724363287,0.0069976872436328715,0.9999999999999997
ZNF540,0.9999999999999998,404,18.523713158592074,18.523713158592074,0.0010753345616273118,0.0010753345616273118,1.0
